is_core,cluster_id
true,9
true,33
true,17
true,5
true,4
true,0
true,29
true,13
true,47
true,29
true,49
true,11
true,32
false,49
false,-1
true,13
true,15
true,9
true,13
false,3
true,33
false,41
true,50
true,24
true,47
true,9
true,1
true,38
true,44
true,13
true,29
true,27
false,-1
true,11
false,28
true,5
false,26
true,30
true,47
false,30
true,42
true,33
true,49
true,21
true,46
true,1
true,1
true,13
true,26
false,-1
true,44
true,45
true,6
true,13
true,20
true,33
true,25
true,7
true,33
true,44
true,43
true,40
true,7
true,6
false,-1
true,46
true,15
true,16
false,23
true,27
true,50
false,-1
true,3
true,29
true,44
true,16
true,27
true,0
true,44
true,36
true,44
true,10
true,33
true,14
true,19
true,19
true,39
true,43
false,39
true,33
true,20
true,35
true,27
true,47
true,40
true,6
true,42
false,-1
true,20
true,28
true,21
true,36
true,19
true,4
true,9
true,7
true,40
false,-1
true,5
true,6
false,-1
false,26
true,7
true,15
true,1
false,40
false,10
true,8
true,6
false,14
true,46
true,6
false,-1
true,19
true,15
true,5
true,50
false,13
false,7
true,27
true,23
true,5
true,33
false,-1
true,42
true,4
true,44
true,28
false,-1
true,12
true,47
true,21
true,24
true,39
true,28
true,27
false,-1
true,1
false,6
true,34
true,33
true,23
true,19
true,35
true,35
true,38
true,4
true,21
false,-1
true,29
false,9
true,11
true,23
true,38
true,27
false,-1
true,26
true,47
true,28
true,13
true,50
false,27
false,37
false,32
true,13
true,43
false,26
true,9
false,28
true,48
true,18
true,10
true,17
true,36
false,32
true,32
true,39
true,28
true,43
false,-1
true,20
true,10
true,46
false,-1
true,28
true,27
true,11
true,27
false,35
false,-1
true,38
false,3
true,34
false,30
false,-1
false,2
true,3
true,1
true,50
true,6
true,43
true,43
true,24
true,38
true,23
false,-1
true,42
false,41
true,33
true,41
true,2
true,10
false,-1
true,12
false,-1
true,22
true,8
false,12
true,44
true,41
true,28
false,8
true,35
true,21
true,28
true,33
true,1
true,0
false,-1
false,-1
true,22
true,46
true,14
true,46
true,19
true,8
true,24
true,12
true,15
true,38
true,49
false,2
true,36
true,5
true,16
true,22
false,47
true,39
true,39
true,6
true,23
true,8
false,-1
true,13
true,5
true,16
true,33
true,4
false,-1
true,47
true,1
true,36
true,1
false,49
true,21
true,39
true,39
true,45
true,50
true,23
true,22
true,23
true,35
true,19
true,27
true,21
false,3
true,18
true,50
true,16
true,38
true,25
true,4
true,42
true,14
true,5
true,50
true,40
true,15
true,50
true,49
true,35
true,2
false,47
true,35
true,10
true,13
true,16
true,29
true,36
true,19
true,16
true,19
false,30
false,35
true,21
true,10
true,4
true,50
true,22
true,13
true,43
false,6
true,44
true,9
true,22
true,8
true,28
true,43
true,6
true,19
false,-1
true,44
true,43
true,14
false,7
true,12
true,49
true,43
true,11
true,27
true,42
true,24
true,12
true,20
true,45
true,5
true,16
true,20
true,9
true,42
false,12
true,5
true,28
true,47
true,33
true,26
true,5
false,13
true,21
true,35
true,17
false,-1
true,34
true,35
false,-1
true,29
true,46
true,44
false,12
true,50
true,46
true,42
true,42
false,12
true,40
true,37
true,24
true,42
true,21
true,21
true,42
false,48
true,1
true,16
true,45
true,33
true,26
false,2
true,11
true,34
true,28
true,23
true,10
true,3
true,42
true,0
false,23
true,45
true,4
true,23
false,20
true,25
true,49
false,49
true,23
false,7
true,9
false,41
true,4
true,24
true,34
true,2
true,35
true,47
true,0
true,42
true,24
true,44
true,17
true,37
true,38
true,25
true,7
true,22
true,2
true,43
true,40
true,9
true,24
false,-1
false,10
false,26
true,49
true,16
true,46
true,11
false,49
true,48
true,0
true,39
true,42
true,27
true,34
true,38
true,46
true,5
true,39
true,3
true,1
true,2
true,41
true,21
true,15
true,13
false,-1
true,18
true,18
true,27
true,15
true,44
true,49
true,10
true,19
true,23
true,44
true,36
true,32
true,33
true,22
true,17
true,28
true,35
true,27
true,4
true,29
true,26
false,-1
true,40
true,40
true,40
true,47
true,16
true,23
true,42
false,28
true,9
true,30
true,23
true,17
true,18
true,15
true,5
true,5
true,38
true,46
true,23
true,34
true,41
true,4
true,23
false,-1
false,14
false,41
true,46
true,14
true,45
false,41
false,-1
true,22
true,26
true,2
true,5
true,41
true,40
true,20
true,13
true,10
true,16
true,27
true,14
true,33
true,24
true,47
true,15
true,32
false,-1
true,13
true,19
true,40
true,25
true,20
true,22
true,4
true,5
true,2
true,49
true,37
true,18
false,41
true,35
true,38
true,22
true,25
true,2
true,29
false,-1
true,29
true,11
true,27
false,6
true,29
true,6
false,-1
true,44
true,49
true,43
true,42
true,40
true,16
true,23
true,17
true,40
false,3
true,15
true,27
true,40
true,4
true,19
true,18
true,20
true,46
true,24
true,17
true,8
true,13
true,27
true,36
true,8
false,28
true,6
true,15
false,-1
true,10
true,10
true,8
true,18
false,-1
true,33
false,-1
true,20
true,50
true,46
true,8
false,-1
true,42
true,42
true,17
true,4
true,15
true,7
true,5
true,1
true,5
true,41
false,36
true,42
true,14
true,4
true,42
true,0
true,26
true,42
true,33
true,40
true,33
true,38
true,37
false,-1
true,37
true,39
true,25
true,27
true,17
true,45
true,16
true,45
true,30
true,23
false,25
false,32
true,25
false,14
true,35
true,13
true,34
true,34
true,29
true,27
true,23
true,22
true,5
true,10
false,6
true,0
true,35
true,35
true,34
true,42
true,41
false,-1
true,7
true,4
true,13
true,10
false,-1
true,4
true,18
true,45
true,39
true,15
true,22
false,8
true,6
true,13
true,6
true,49
true,2
false,12
true,37
true,27
true,29
true,38
true,34
true,50
true,5
true,36
true,22
true,28
true,25
true,15
true,10
true,5
false,-1
true,14
true,18
true,13
true,29
true,26
true,26
true,36
true,36
true,8
true,33
true,5
false,13
true,9
true,33
true,42
false,26
true,39
true,30
true,19
true,28
true,20
true,21
true,35
false,26
true,7
true,40
true,15
true,0
true,46
true,1
true,20
true,10
true,15
true,7
true,42
true,20
true,15
false,-1
true,40
true,13
true,41
true,38
true,13
true,32
true,44
true,8
true,6
true,36
true,4
true,32
false,4
false,47
true,5
true,10
true,29
true,28
true,29
true,17
false,32
true,45
true,49
true,9
true,34
true,34
true,30
true,46
true,17
true,8
true,24
false,9
true,3
true,35
true,5
true,38
true,41
false,-1
true,29
true,5
true,42
true,19
true,9
true,27
true,13
true,45
true,37
true,42
true,32
true,26
true,29
true,24
true,2
true,21
true,17
true,40
true,29
true,39
true,1
true,16
true,34
true,17
true,20
false,3
false,30
true,19
true,44
true,33
true,26
false,-1
true,17
true,47
true,24
true,9
true,38
false,32
true,50
true,43
true,21
true,19
true,19
true,45
true,43
true,7
true,0
true,49
true,10
true,49
true,1
true,22
true,2
true,5
true,13
true,17
true,18
true,16
true,19
true,26
true,19
true,13
true,22
true,19
true,22
true,46
true,43
true,19
true,10
true,8
true,46
true,19
true,42
true,16
false,-1
true,38
true,9
true,11
true,14
true,49
false,40
true,39
true,40
true,35
true,4
true,25
false,-1
true,40
true,15
true,16
true,23
true,24
true,0
true,46
true,21
true,22
true,27
true,26
true,22
true,45
true,1
true,0
true,17
false,37
false,9
true,22
true,33
true,15
true,15
true,15
true,17
false,12
true,45
true,5
true,41
true,36
true,36
true,32
true,26
true,2
true,1
false,22
true,32
true,6
true,42
false,-1
true,17
true,42
false,-1
false,-1
true,5
true,19
true,35
true,20
true,13
true,36
true,30
false,-1
true,18
true,22
true,40
true,46
true,19
true,38
true,29
true,0
true,21
true,21
true,9
true,27
true,45
true,47
true,26
true,17
false,13
true,23
true,39
true,22
false,-1
true,33
true,38
true,35
true,3
true,40
true,12
true,35
true,23
true,5
true,42
true,27
true,4
true,50
true,26
true,0
true,3
true,43
true,8
true,47
true,48
true,45
true,14
true,8
true,7
false,7
false,41
true,40
true,39
true,34
true,40
true,10
true,44
true,27
false,7
false,11
true,46
true,44
true,44
false,-1
true,12
true,27
true,50
true,37
